,idx,code,reaction,ea
3,246,139,[N:1](=[C:2](/[O:3][C:4]([C:5]#[C:6][H:11])([H:9])[H:10])[H:8])\[H:7]>>[N:1](=[C:2](/[O:3][C:6](=[C:5]=[C:4]([H:9])[H:10])[H:11])[H:8])\[H:7],57.880101809386396
0,247,140,[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:5]([C:4](=[C:6]([H:12])[H:13])[H:9])([H:10])[H:11])[H:7],38.1794590059024
1,248,140,[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[N:1]([C:2](=[O:3])[H:8])([C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:7],43.9770788377258
2,249,140,[N:1](=[C:2](/[O:3][C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])\[H:7]>>[N:1]#[C:2][H:8].[O:3]=[C:4]([C:6]([C:5]([H:7])([H:10])[H:11])([H:12])[H:13])[H:9],36.1504306522851
0,250,141,[N:1]([C:2](=[O:3])[N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])([H:7])[H:8]>>[N:1](/[C:2]([O:3][H:12])=[N:4]/[C:6](=[C:5]([H:9])[H:10])[H:11])([H:7])[H:8],47.1061650686325
1,251,141,[N:1]([C:2](=[O:3])[N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])([H:7])[H:8]>>[N:1]([C:5]([C:6]([N:4]=[C:2]=[O:3])([H:11])[H:12])([H:9])[H:10])([H:7])[H:8],55.07993807269361
2,252,141,[N:1]([C:2](=[O:3])[N:4]1[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])([H:7])[H:8]>>[N:1]([C:2]1=[N:4][C:5]([H:9])([H:10])[C:6]([H:11])([H:12])[O:3]1)([H:7])[H:8],40.1043282885972
0,253,142,[N:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O:4]/[C:5]1=[N:6]\[H:12])([H:7])[H:8]>>[N:1]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:7])[H:8].[O:4]=[C:5]=[N:6][H:12],41.520396758854794
1,254,142,[N:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O:4]/[C:5]1=[N:6]\[H:12])([H:7])[H:8]>>[N:1]([C@@:2]([C:3]([O:4][H:12])([H:10])[H:11])([C:5]#[N:6])[H:9])([H:7])[H:8],58.7866157344658
0,255,143,[C:1]1([H:6])([H:7])[C@@:2]2([H:8])[C:3]([H:9])([H:10])[C@:4]1([H:11])[O:5]2>>[C:1](=[C:2]([C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])[H:8])([H:6])[H:7],30.6157824725497
0,256,144,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4](=[O:5])[C:6]1([H:11])[H:12])[H:7]>>[O:1]([C:4]([C:3]([C:2](=[C:6]([H:11])[H:12])[H:8])([H:9])[H:10])=[O:5])[H:7],56.692934687234
1,257,144,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4](=[O:5])[C:6]1([H:11])[H:12])[H:7]>>[O:1]=[C:2]([C:3]([C:4]([O:5][H:7])=[C:6]([H:11])[H:12])([H:9])[H:10])[H:8],24.76959042364049
0,258,145,[C:1]1([H:7])=[N:2][N:3]=[N:4][N:5]=[C:6]1[H:8]>>[C:1](#[N:2])[H:7].[N:3]#[N:4].[N:5]#[C:6][H:8],13.2659615429321
0,259,146,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([C:5]#[C:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([C:4](=[C:5]=[C:6]([H:8])[H:14])[H:13])([H:11])[H:12])[H:10])([H:7])[H:9],28.6069963525248
0,260,147,[C:1]([O:2]/[C:3](=[N:4]/[C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:12].[O:2]=[C:3]([N:4]=[C:5]([H:10])[H:11])[C:6]([H:13])([H:14])[H:15],56.8780857594981
1,261,147,[C:1]([O:2]/[C:3](=[N:4]/[C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9]>>[C:1]([N:4]([C:3](=[O:2])[C:6]([H:13])([H:14])[H:15])[C:5]([H:10])([H:11])[H:12])([H:7])([H:8])[H:9],43.1363922277731
0,262,148,[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[C@:4]1([O:5][H:11])[H:10])[H:6]>>[O:1]([C@@:2]([C:3]([H:8])([H:9])[H:11])([C:4](=[O:5])[H:10])[H:7])[H:6],48.484121411629296
1,263,148,[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[C@:4]1([O:5][H:11])[H:10])[H:6]>>[O:1]([C:4]([C:2](=[C:3]([H:8])[H:9])[H:7])([O:5][H:11])[H:10])[H:6],49.80803196524749
2,264,148,[O:1]([C@@:2]1([H:7])[C:3]([H:8])([H:9])[C@:4]1([O:5][H:11])[H:10])[H:6]>>[O:1]([C:2]([C:3]([C:4](=[O:5])[H:10])([H:8])[H:9])([H:6])[H:7])[H:11],53.172625406376
0,265,149,[C:1]([C:2]([C@@:3]1([H:12])[C:4]([H:13])([H:14])[C@:5]1([O:6][H:16])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([H:7])([H:8])([H:9])[H:16].[C:2](=[C:3]([C:4]([C:5](=[O:6])[H:15])([H:13])[H:14])[H:12])([H:10])[H:11],53.068858553529
0,266,150,[C:1]([C:2]([C:3]([C@@:4]1([H:14])[C:5]([H:15])([H:16])[O:6]1)([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:4]([C:5]([H:10])([H:15])[H:16])(=[O:6])[H:14],56.277200451359796
0,267,151,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:5](\[O:6][H:14])[H:13])[H:10])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:11])[H:12],53.378541018674795
1,268,151,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([O:3][H:14])([C@@:5]1([H:13])[C:4]([H:11])([H:12])[O:6]1)[H:10])([H:7])([H:8])[H:9],58.3174077745602
2,269,151,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@:2]1([H:10])[C@:5]([C:4]([O:3][H:14])([H:11])[H:12])([H:13])[O:6]1)([H:7])([H:8])[H:9],52.0411410982365
0,270,152,[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C@@:3]2([H:11])[O:4][C:5]([H:12])([H:13])[C@@:6]12[H:14]>>[C:1]1([H:7])([H:8])[C:2]([H:10])=[C:3]([H:11])[C@:6]1([C:5]([O:4][H:9])([H:12])[H:13])[H:14],51.78579197198261
1,271,152,[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C@@:3]2([H:11])[O:4][C:5]([H:12])([H:13])[C@@:6]12[H:14]>>[C:1]([C:2]([C:3](=[O:4])[H:11])([H:9])[H:10])([C:6](=[C:5]([H:12])[H:13])[H:14])([H:7])[H:8],33.761937195764396
0,272,153,[C:1]([C@@:2]([O:3][H:11])([C:4]([C:5]#[C:6][H:14])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[C:6]([H:11])[H:14])([H:12])[H:13],25.5784831544802
0,273,154,[C:1](#[C:2][C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:8])[H:9])[H:7]>>[C:1]1([H:7])=[C:2]([C:3]([C:4](=[O:6])[H:10])([H:8])[H:9])[C:5]1([H:11])[H:12],53.409229431072
1,274,154,[C:1](#[C:2][C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:8])[H:9])[H:7]>>[C:1](=[C:2]=[C:3]([H:8])[H:9])([C:5]([C:4](=[O:6])[H:10])([H:11])[H:12])[H:7],44.360497309465195
2,275,154,[C:1](#[C:2][C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:8])[H:9])[H:7]>>[C:1](#[C:2]/[C:3](=[C:4](/[C:5]([O:6][H:8])([H:11])[H:12])[H:10])[H:9])[H:7],49.73194938116139
0,276,155,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[N:5]([H:10])[C@@:6]12[H:11]>>[O:1]=[C:2]=[C:6]([N:5]([C:4](=[C:3]([H:7])[H:8])[H:9])[H:10])[H:11],17.8572387106903
1,277,155,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[N:5]([H:10])[C@@:6]12[H:11]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[N:5][C:6]1([H:10])[H:11],58.372954497426996
2,278,155,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[N:5]([H:10])[C@@:6]12[H:11]>>[C:3](=[C:4](/[C:6](=[N:5]\[H:10])[H:11])[H:9])([H:7])[H:8].[O+:1]#[C-:2],55.024818740129604
0,279,156,[C:1]([C:2]1([O:3][H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])([H:6])([H:7])[H:8]>>[C:1](=[C:2]([O:3][H:9])[C:5]([C:4]([H:8])([H:10])[H:11])([H:12])[H:13])([H:6])[H:7],58.2552020162354
0,280,157,[N:1]([C:2]1=[C:3]([H:9])[O:4][N:5]=[C:6]1[H:10])([H:7])[H:8]>>[N:1]([C:2]([C:3](=[O:4])[H:9])=[C:6]=[N:5][H:10])([H:7])[H:8],51.3942159237766
0,281,158,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]3([H:10])[C:4]([H:11])([H:12])[N:5]1[C@@:6]23[H:13]>>[C:1](=[C:2]([C@@:3]1([H:10])[C:4]([H:11])([H:12])[N:5]=[C:6]1[H:13])[H:9])([H:7])[H:8],35.8877541178045
0,282,159,[C:1](/[C:2](=[N:3]/[O:4][H:10])[C:5]([O:6][H:13])([H:11])[H:12])([H:7])([H:8])[H:9]>>[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:11])[H:12].[O:4]([H:10])[H:13],28.6835861599063
0,283,160,[O:1]1[N:2]=[C:3]([H:6])[N:4]=[N:5]1>>[N:2]#[C:3][H:6].[O:1]=[N+:5]=[N-:4],24.2946341171338
1,284,160,[O:1]1[N:2]=[C:3]([H:6])[N:4]=[N:5]1>>[N:4]#[N:5].[O-:1][N+:2]#[C:3][H:6],6.62626211588816
0,285,161,[C:1]1([H:7])([H:8])[N:2]([H:9])[C:3]12[C:4]([H:10])([H:11])[O:5][C:6]2([H:12])[H:13]>>[C:1]([N:2]=[C:3]1[C:4]([H:10])([H:11])[O:5][C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],57.674834312735605
0,286,162,[C:1]([C@@:2]1([H:10])[O:3][C@@:4]2([H:11])[C:5]([H:12])([H:13])[C@@:6]12[H:14])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C@@:6]1([H:14])[C@:4]([O:3][H:7])([H:11])[C:5]1([H:12])[H:13])[H:10])([H:8])[H:9],55.07988562444761
1,287,162,[C:1]([C@@:2]1([H:10])[O:3][C@@:4]2([H:11])[C:5]([H:12])([H:13])[C@@:6]12[H:14])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:6](\[C:5]([C:4](=[O:3])[H:11])([H:12])[H:13])[H:14])[H:10])([H:7])([H:8])[H:9],30.159735307129502
0,288,163,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[C:6][H:13])[H:12])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3]([C:4](=[C:5]=[C:6]([H:8])[H:13])[H:12])([H:10])[H:11])([H:7])[H:9],22.773203526995893
0,289,164,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[O:5][C@@:6]12[H:14])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([C:3](=[C:4]([H:12])[H:13])[H:11])([C:6](=[O:5])[H:14])[H:10])([H:7])([H:8])[H:9],27.1447155885777
1,290,164,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[O:5][C@@:6]12[H:14])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]1=[C:6]([H:14])[O:5][C:4]1([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],59.3911366703873
0,291,165,[C:1]([C@@:2]([O:3][H:10])([C:4]#[C:5][H:11])[H:9])([H:6])([H:7])[H:8]>>[C:1]([C:2](=[C:4]=[C:5]([O:3][H:10])[H:11])[H:9])([H:6])([H:7])[H:8],57.0300270993928
0,292,166,[N:1]#[C:2][C:3]([C@@:4]1([H:9])[C:5]([H:10])([H:11])[N:6]1[H:12])([H:7])[H:8]>>[N:1]#[C:2]/[C:3](=[C:4](\[C:5]([N:6]([H:7])[H:12])([H:10])[H:11])[H:9])[H:8],48.6354980670223
1,293,166,[N:1]#[C:2][C:3]([C@@:4]1([H:9])[C:5]([H:10])([H:11])[N:6]1[H:12])([H:7])[H:8]>>[N:1]#[C:2][N:6]([C:5]([C:4](=[C:3]([H:7])[H:8])[H:9])([H:10])[H:11])[H:12],59.7875102112677
0,294,167,[C:1]12([H:7])[C:2]3([H:8])[C:3]1([H:9])[C:4]1([H:10])[C:5]2([H:11])[C:6]31[H:12]>>[C:1]1([H:7])=[C:2]([H:8])[C:6]([H:12])=[C:5]([H:11])[C:4]([H:10])=[C:3]1[H:9],39.4283210323101
0,295,168,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[O:3][C@:4]1([H:10])[C:5]([H:11])=[C:6]2[H:12]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[O:3][C@@:6]2([H:12])[C:5]([H:11])=[C:4]1[H:10],25.335272159942487
0,296,169,[O:1]1[C:2]([H:6])=[C:3]([H:7])[C:4]([H:8])=[N:5]1>>[O:1]=[C:2]([C:3]([C:4]#[N:5])([H:7])[H:8])[H:6],51.6311821374934
1,297,169,[O:1]1[C:2]([H:6])=[C:3]([H:7])[C:4]([H:8])=[N:5]1>>[O:1]=[C:2]([C:3](=[C:4]=[N:5][H:8])[H:7])[H:6],49.4676585524566
0,298,170,[C:1]([C@@:2]([O:3][H:11])([C@@:4]([C:5]([H:13])([H:14])[H:15])([O:6][H:16])[H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[C:4]([C:5]([H:13])([H:14])[H:15])([H:10])[H:12])([H:7])([H:8])[H:9].[O:6]([H:11])[H:16],54.0453244301269
0,299,171,[C:1]([O:2][C:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:5](=[O:6])[H:14])([H:7])([H:8])[H:9].[C:3](=[C:4]([H:12])[H:13])([H:10])[H:11],48.8271223516777
0,300,172,[N:1](=[C:2]1\[C:3]([H:8])([H:9])[N:4]=[C:5]([H:10])[N:6]1[H:11])\[H:7]>>[N:1]([C:2]1=[N:6][C:5]([H:10])=[N:4][C:3]1([H:8])[H:9])([H:7])[H:11],44.6875198798499
0,301,173,[C:1]([C:2]([O:3][C:4]1([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[C:4]([C:5]([H:10])([H:13])[H:14])(=[C:6]([H:15])[H:16])[H:12],56.336374582657
0,302,174,[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([O:4][H:13])[C:5]#[C:6][H:14])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])=[C:5]=[C:6]([O:4][H:13])[H:14])([H:7])([H:8])[H:9],55.00750912050079
0,303,175,[O:1]([C:2]1=[C:3]([H:8])[N:4]([H:9])[C:5]([H:10])=[C:6]1[H:11])[H:7]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[N:4]([H:9])[C:5]([H:10])=[C:6]1[H:11],54.1427128093185
0,304,176,[O:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]>>[O:1]1[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([O:6][H:7])[H:14],28.9560362937247
0,305,177,[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]3([H:9])[O:4][C@@:5]2([H:10])[C@:6]13[H:11]>>[N:1]1([H:7])[C@@:2]([C:5](=[O:4])[H:10])([H:8])[C:3]([H:9])=[C:6]1[H:11],26.6237557071163
0,306,178,[C:1]([C:2]1=[C:3]([H:10])[N:4]=[N:5][O:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:3](=[C:2]=[O:6])[H:10])([H:7])([H:8])[H:9].[N:4]#[N:5],31.4756981384387
0,307,179,[O:1]1[N:2]=[N:3][N:4]=[N:5]1>>[N:4]#[N:5].[O:1]=[N+:3]=[N-:2],3.5053772487848103
0,308,180,[C:1]([O:2][C@@:3]([C:4]([H:11])([H:12])[H:13])([C:5]([O:6][H:16])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([O:2][H:16])([H:7])([H:8])[H:9].[C:3]([C:4]([H:11])([H:12])[H:13])([C:5](=[O:6])[H:15])([H:10])[H:14],53.5915099985125
0,309,181,[C:1]([C:2](=[O:3])[C:4]([C:5]([O:6][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[O:3])[O:6][H:14])([H:7])([H:8])[H:9].[C:4](=[C:5]([H:12])[H:13])([H:10])[H:11],53.2747576349868
0,310,182,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[O:4][C:5]([H:13])=[N:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])=[N:6][C:5](=[O:4])[H:13])([H:7])([H:8])[H:9],53.4402023233835
0,311,183,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[N:6])[H:10])([H:8])[H:9])[H:7]>>[C:2](=[C:3]([O:4][H:11])[C:5]#[N:6])([H:8])[H:9].[O:1]([H:7])[H:10],55.9826253760884
0,312,184,[O:1]1[C:2]([H:6])=[N:3][C:4]([H:7])=[N:5]1>>[C:4](#[N:5])[H:7].[O:1]=[C:2]=[N:3][H:6],55.6927521178529
1,313,184,[O:1]1[C:2]([H:6])=[N:3][C:4]([H:7])=[N:5]1>>[O:1]=[C:2]([N:3]=[C:4]=[N:5][H:7])[H:6],44.3535365485365
0,314,185,[O:1]([C:2]1=[C:3]([H:8])[C:4]([H:9])=[C:5]([H:10])[N:6]1[H:11])[H:7]>>[O:1]=[C:2]1[C:3]([H:7])([H:8])[C:4]([H:9])=[C:5]([H:10])[N:6]1[H:11],52.7461870960277
0,315,186,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[O:5][C:6]2([H:13])[H:14]>>[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[C:6]1([H:13])[H:14])([C:4](=[O:5])[H:12])([H:7])[H:8],56.99429454576329
0,316,187,[O:1]([C@@:2]([C:3](=[O:4])[H:9])([C:5]#[N:6])[H:8])[H:7]>>[O:1]=[C:2]([C:3]([O:4][H:7])([H:8])[H:9])[C:5]#[N:6],35.170149149963
0,317,188,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[O:5][C@@:6]21[H:12]>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C-:4]=[O+:5][C:6]2([H:11])[H:12],52.881965607401
1,318,188,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[O:5][C@@:6]21[H:12]>>[C:1](=[C:3](/[C:2](=[C:6](\[C:4](=[O:5])[H:11])[H:12])[H:9])[H:10])([H:7])[H:8],27.390753041711
0,319,189,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5](=[O:6])[H:12])[H:10])([H:8])[H:9])[H:7]>>[O:1]([C:2]([C:3](=[O:4])[C:5]([O:6][H:11])([H:10])[H:12])([H:8])[H:9])[H:7],36.0697798016216
1,320,189,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5](=[O:6])[H:12])[H:10])([H:8])[H:9])[H:7]>>[C:2](=[C:3]([O:4][H:11])[H:10])([H:8])[H:9].[O:1]([C:5](=[O:6])[H:12])[H:7],48.940977805021
0,321,190,[C:1]([C:2]([C:3]#[C:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]#[C:4][H:11])=[C:5]=[C:6]([H:10])[H:12])([H:7])([H:8])[H:9],58.9256282922995
0,322,191,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[O:4][C@:5]1([C:6]([H:14])([H:15])[H:16])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([C:3]([O:4][H:16])([H:11])[H:12])([C:5](=[C:6]([H:14])[H:15])[H:13])[H:10])([H:7])([H:8])[H:9],54.0084034160895
1,323,191,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[O:4][C@:5]1([C:6]([H:14])([H:15])[H:16])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[O:4]=[C:5]([C:6]([H:14])([H:15])[H:16])[H:13],52.642378084276714
0,324,192,[O:1]([C:2]1=[N:3][C:4]([H:8])=[C:5]([H:9])[N:6]1[H:10])[H:7]>>[O:1]=[C:2]1[N:3]([H:7])[C:4]([H:8])=[C:5]([H:9])[N:6]1[H:10],34.7785014754369
0,325,193,[O:1]([C:2]([C:3]([C:4]1([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:10])[H:11])([H:8])[H:9])[H:7]>>[C:3](=[C:4]([C:5]([C:6]([H:7])([H:15])[H:16])([H:13])[H:14])[H:12])([H:10])[H:11].[O:1]=[C:2]([H:8])[H:9],43.850497030368786
0,326,194,[C:1]([C@@:2]1([C:3]([O:4][H:12])([H:10])[H:11])[C:5]([H:13])([H:14])[O:6]1)([H:7])([H:8])[H:9]>>[C:1]([C@:2]([C:3](=[O:4])[H:11])([C:5]([O:6][H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9],35.7792821525684
0,327,195,[C:1](#[C:2][C:3]([C:4]([C:5]#[C:6][H:12])([H:10])[H:11])([H:8])[H:9])[H:7]>>[C:1](=[C:2]=[C:3]([H:8])[H:9])([C:6](=[C:5]=[C:4]([H:10])[H:11])[H:12])[H:7],25.0383217139213
0,328,196,[O:1]=[C:2]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:7]>>[O:1]1[C@@:2]2([H:7])[C@:3]1([H:8])[O:6][C:5]([H:11])([H:12])[C:4]2([H:9])[H:10],43.2778308558914
1,329,196,[O:1]=[C:2]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:7]>>[O:1]1[C:2]([H:7])=[C:3]([H:8])[O:6][C:5]([H:11])([H:12])[C:4]1([H:9])[H:10],58.7033795955453
2,330,196,[O:1]=[C:2]([C@@:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:7]>>[C:5](=[O:6])([H:11])[H:12].[O:1]=[C:2]([C:3](=[C:4]([H:9])[H:10])[H:8])[H:7],47.985770697874614
0,331,197,[C:1]([C:2]([O:3][C:4]([C:5]([O:6][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:16])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([C:5](=[O:6])[H:14])([H:12])([H:13])[H:15],58.2198772668973
0,332,198,[N:1](=[C:2]1/[C:3]([H:7])([H:8])[C:4]([H:9])([H:10])[O:5]1)\[H:6]>>[C:3](=[C:4]([H:9])[H:10])([H:7])[H:8].[N:1](=[C:2]=[O:5])[H:6],42.376326973156296
0,333,199,[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5]#[C:6][H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:5]=[C:6]([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[C:3](=[O:4])([H:11])[H:12],25.864601360279497
0,334,200,[C:1]([C@@:2]([C:3](=[O:4])[H:11])([C:5]#[C:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[C-:3]#[O+:4].[C:1]([C:2](=[C:5]=[C:6]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9],31.3298784074585
1,335,200,[C:1]([C@@:2]([C:3](=[O:4])[H:11])([C:5]#[C:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:5]=[C:6]([C:3](=[O:4])[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],44.9712633206081
2,336,200,[C:1]([C@@:2]([C:3](=[O:4])[H:11])([C:5]#[C:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3](=[O:4])[H:11])=[C:5]=[C:6]([H:10])[H:12])([H:7])([H:8])[H:9],55.576320258707
0,337,201,[C:1]([C@@:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@:2]([O:3][H:10])([C:5](=[C:4]([H:11])[H:12])[O:6][H:14])[H:13])([H:7])([H:8])[H:9],57.2598629105698
1,338,201,[C:1]([C@@:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:10])([C:4]([H:11])([H:12])[H:14])[C:5](=[O:6])[H:13])([H:7])([H:8])[H:9],52.7256542398452
2,339,201,[C:1]([C@@:2]1([O:3][H:10])[C:4]([H:11])([H:12])[C@:5]1([O:6][H:14])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:10])([C:5](=[C:4]([H:11])[H:12])[H:13])[O:6][H:14])([H:7])([H:8])[H:9],47.3659824133875
0,340,202,[C:1]([C@@:2]([C:3]#[C:4][H:11])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]=[C:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9],55.98713133265161
0,341,203,[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]1([H:9])[C@@:4]1([H:10])[O:5][C@@:6]21[H:11]>>[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]1([H:9])[C:4]([H:10])([H:11])[O+:5]=[C-:6]2,54.281440442150405
