Rind,reaction,idx,code
MR_129378_2,[C:1](=[C:5]([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])[N:7]([H:8])[H:9])([H:11])[H:12].[C:2](=[N:6][H:10])([H:13])[H:14]>>[C:1]([C:2]([N:6]([H:9])[H:10])([H:13])[H:14])(/[C:5]([C:3]([C:4]([H:17])([H:18])[H:19])([H:15])[H:16])=[N:7]/[H:8])([H:11])[H:12],485,445
MR_129405_0,[C:1]([O:4][O:3][N:5][N:6][N:2]([H:7])[H:8])([H:9])([H:10])[H:11]>>[C:1]([O:4][N:6]([N:2]([H:7])[H:8])[N:5]=[O:3])([H:9])([H:10])[H:11],486,446
MR_129405_1,[C:1]([O:4][O:3]/[N:5]=[N:6]/[N:2]([H:7])[H:8])([H:9])([H:10])[H:11]>>[C:1]([O:4][N:6]([N:2]([H:7])[H:8])[N:5]=[O:3])([H:9])([H:10])[H:11],487,447
MR_129449_2,[C:1]([O:4][C:2]([N-:3][H:7])=[N+:5]([H:8])[H:15])([H:9])([H:10])[H:11].[H:6][N+:14]([N-:12][H:16])=[C:13]([H:17])[H:18]>>[C:1]([O:4]/[C:2]([N:3]([H:6])[H:7])=[N:5]/[H:8])([H:9])([H:10])[H:11].[N:12]([N:14]=[C:13]([H:17])[H:18])([H:15])[H:16],488,448
MR_129479_0,[C-:2](/[N+:6](=[N:5]/[C:4]([H:16])([H:17])[H:18])[H:8])([H:12])[H:13].[C:1](=[C:3]([H:14])[H:15])([N:7]([H:10])[H:11])[H:9]>>[C:1]1([N:7]([H:10])[H:11])([H:9])[C:3]([H:14])([H:15])[C:2]([H:12])([H:13])[N:6]([H:8])[N:5]1[C:4]([H:16])([H:17])[H:18],489,449
MR_129564_0,[C-:1](=[O+:3]/[H:4])\[H:6].[C:10](/[C:11](=[N:13]\[O:12][H:14])[H:15])([H:16])([H:17])[H:18].[C:2]([H:5])([H:7])([H:8])[H:9]>>[C:10](/[C:11](=[N:13]\[O:12][H:14])[H:15])([H:16])([H:17])[H:18].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:4])([H:5])[H:6],490,450
MR_129607_0,[C-:1](=[O+:3]/[H:4])\[H:6].[C:10]([C:12]([C:11]([H:18])([H:19])[H:20])=[C:13]=[O:14])([H:15])([H:16])[H:17].[C:2]([H:5])([H:7])([H:8])[H:9]>>[C:10]([C:12]([C:11]([H:18])([H:19])[H:20])=[C:13]=[O:14])([H:15])([H:16])[H:17].[C:1]([C:2]([H:7])([H:8])[H:9])([O:3][H:4])([H:5])[H:6],491,451
MR_129610_0,[C:1]([C:3]([C:4](/[C-:2]=[O+:6]\[H:7])([H:11])[H:12])=[C:5]([H:13])[H:14])([H:8])([H:9])[H:10]>>[C:1]([C:3]([C:2](=[C:4]([H:11])[H:12])[O:6][H:7])=[C:5]([H:13])[H:14])([H:8])([H:9])[H:10],492,452
MR_129613_0,[C:1]([C:3]([C:2](=[C:4]([H:12])[H:13])[O:5][H:8])=[C:6]=[O:7])([H:9])([H:10])[H:11]>>[C:1]([C:3]1=[C:2]([O:5][H:8])[C:4]([H:12])([H:13])[C:6]1=[O:7])([H:9])([H:10])[H:11],493,453
MR_129617_0,[C:1]([O:6][C:3]([C:4]([C:2]([H:12])([H:13])[H:14])=[C:7]=[O:8])=[C:5]([H:15])[H:16])([H:9])([H:10])[H:11]>>[C:1]([O:6][C:7]([C:4]([C:2]([H:12])([H:13])[H:14])=[C:3]=[C:5]([H:15])[H:16])=[O:8])([H:9])([H:10])[H:11],494,454
MR_129789_1,[C:1]1([H:8])([H:9])[C:2]2([H:11])[C:5]([H:10])([H:12])[N:7]=[C:4]([C:3]([H:13])([H:14])[H:15])[N:6]12>>[C:1]1([H:8])([H:9])[C:2]([H:11])([H:12])[C:5]([H:10])=[N:7][C:4]([C:3]([H:13])([H:14])[H:15])=[N:6]1,495,455
MR_129818_0,[C:1]([C-:3]=[N+:6]=[C:2]=[N:7][H:8])([H:11])([H:12])[H:13].[C:4](=[C:5]([H:14])[H:15])([H:9])[H:10]>>[C:1](/[C:3](=[N:6]/[C:2]([C:4](=[C:5]([H:14])[H:15])[H:10])=[N:7]/[H:8])[H:9])([H:11])([H:12])[H:13],496,456
MR_129823_1,[C:1]1(=[N:7]/[H:8])\[C-:3]([H:11])[C@@:4]([N:2]([H:9])[H:10])([H:12])[N+:6]1=[C:5]([H:13])[H:14]>>[C:1](/[C:3](=[C:4](/[N:2]([H:9])[H:10])[H:12])[H:11])([N:6]=[C:5]([H:13])[H:14])=[N:7]\[H:8],497,457
MR_209455_1,[C:1]1(=[N:7]/[H:8])\[C-:3]([H:11])[C@@:4]([N:2]([H:9])[H:10])([H:12])[N+:6]1=[C:5]([H:13])[H:14]>>[C:1](/[C:3](=[C:4](\[N:2]([H:9])[H:10])[H:12])[H:11])([N:6]=[C:5]([H:13])[H:14])=[N:7]\[H:8],498,457
MR_129839_1,[C:1]([C:2]([H:11])([H:12])[H:13])([C:3]([N:4]([H:9])[H:10])=[O:7])([N:5]=[O:6])[H:8]>>[C:1](\[C:2]([H:11])([H:12])[H:13])(=[N+:5](/[C:3]([N:4]([H:9])[H:10])=[O:7])[O-:6])[H:8],499,458
MR_671252_1,[C:1]([C:2]([H:11])([H:12])[H:13])([C:3]([N:4]([H:9])[H:10])=[O:7])([N:5]=[O:6])[H:8]>>[C:1](\[C:2]([H:11])([H:12])[H:13])(=[N+:5](/[C:3]([N:4]([H:9])[H:10])=[O:7])[O-:6])[H:8],500,458
MR_12989_0,[C:1]1([H:10])([H:11])[C:2]([H:12])([H:13])[N:3]1[N:4]([C:5]([O:6][H:8])=[O:7])[H:9]>>[C:1]1([H:10])([H:11])[C:2]([H:12])([H:13])[N:3]1[N:4]([H:8])[H:9].[C:5](=[O:6])=[O:7],501,459
MR_12991_1,[C-:1]([N+:3](=[C:2]([H:7])[H:8])[H:4])([H:5])[H:6].[C:9]([N:10]([H:14])[H:15])([O:11][H:13])=[O:12]>>[C:1]1([H:5])([H:6])[C:2]([H:7])([H:8])[N:3]1[H:4].[C:9]([N:10]([H:14])[H:15])([O:11][H:13])=[O:12],502,460
MR_129961_2,[C-:15](=[O+:18]/[H:19])\[H:21].[C:16]([C:17]([H:24])([H:25])[H:26])([H:20])([H:22])[H:23].[C:1]([C:3]([H:12])([H:13])[H:14])([N:4]([C:2]([H:9])([H:10])[H:11])[H:7])([O:5][H:6])[H:8]>>[C:15]([C:16]([C:17]([H:24])([H:25])[H:26])([H:22])[H:23])([O:18][H:19])([H:20])[H:21].[C:1]([C:3]([H:12])([H:13])[H:14])([N:4]([C:2]([H:9])([H:10])[H:11])[H:7])([O:5][H:6])[H:8],503,461
MR_130041_2,[C:1]([C:2]([H:8])([H:9])[H:10])(=[O:3])[H:7].[O:4]([H:6])[C:12]([C:11]([H:17])([H:18])[H:19])([C:13](=[C:14]([H:20])[H:21])[H:16])[O:15][H:5]>>[C:11]([C:12]([C:13](=[C:14]([H:20])[H:21])[H:16])=[O:15])([H:17])([H:18])[H:19].[C:1]([C:2]([H:8])([H:9])[H:10])([O:3][H:5])([O:4][H:6])[H:7],504,462
MR_130249_0,[C:1](=[C:2]([H:7])[H:8])([O:3][H:5])[O:4][H:6]>>[C:1](=[C:2]([H:7])[H:8])=[O:3].[O:4]([H:5])[H:6],505,463
MR_13025_1,[C:1](=[O:4])([H:9])[H:10].[N:2]([N:3]([H:7])[H:8])([H:5])[H:6]>>[C:1]([N:2]([N:3]([H:7])[H:8])[H:5])([O:4][H:6])([H:9])[H:10],506,464
MR_130288_1,[C:1]1([C:2]([C:3]([C:4]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13])([N:7]([H:10])[H:11])[N:5]([H:9])[C:6]1=[O:8]>>[C-:6]#[O+:8].[C:1](\[C:2]([C:3]([C:4]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13])(=[N:5]/[H:9])[N:7]([H:10])[H:11],507,465
MR_130365_1,[C:1]([C:2]#[N+:4][H:7])(=[C:3]([H:9])[H:10])/[C:5](=[C-:6]\[H:11])[H:8]>>[C:1](/[C:2](=[N:4]/[H:7])[H:8])(=[C:3]([H:9])[H:10])[C:5]#[C:6][H:11],508,466
MR_130377_1,[C-:2](=[O+:7]\[H:9])\[H:13].[C:1]([C:3]([H:12])([H:14])[H:15])([N:5]([C:4]([H:16])([H:17])[H:18])[H:10])([O:6][H:8])[H:11]>>[C:1]([C:3]([C:2]([O:7][H:9])([H:12])[H:13])([H:14])[H:15])([N:5]([C:4]([H:16])([H:17])[H:18])[H:10])([O:6][H:8])[H:11],509,467
MR_130397_2,[C:1](=[N+:5]([H:10])[H:11])([N:6]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[H:9])[N-:7][H:12])[H:8]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[H:9])([N:5]([H:10])[H:11])(/[N:6]=[N:7]\[H:12])[H:8],510,468
MR_130444_0,[C-:1]([C:3]([H:10])([H:14])[H:15])(/[O+:6]=[C:4](\[C:5]([C:2]([H:11])([H:12])[H:13])([H:16])[H:17])[O:7][H:8])[H:9]>>[C:1]([C:2]([H:11])([H:12])[H:13])([C:3]([H:10])([H:14])[H:15])([O:6][C:4](=[C:5]([H:16])[H:17])[O:7][H:8])[H:9],511,469
MR_130590_1,[C:1]1([H:10])([H:11])[N+:3]([C:2]([H:12])([H:13])[H:14])([O-:6])[C:4]1=[C:5]([H:15])[H:16].[C:7](#[N:8])[H:9]>>[C:1]([N:3]([C:2]([H:12])([H:13])[H:14])[O:6][H:9])([C:4](=[C:5]([H:15])[H:16])[C:7]#[N:8])([H:10])[H:11],512,470
MR_130593_2,[C:1]1([H:9])([H:10])[N@@+:2]2([O:7][H:8])[C-:3]([H:11])[C@@:5]2([H:13])[C:6]([H:14])=[C:4]1[H:12]>>[C:1]1([H:9])([H:10])[N:2]([O:7][H:8])[C:3]([H:11])=[C:5]([H:13])[C:6]([H:14])=[C:4]1[H:12],513,471
MR_130719_0,[C:1]1([H:10])([H:11])[C:6](=[C:7]([H:18])[H:19])[N:9]1[C:4]([C:2]([H:12])([H:13])[H:14])=[N+:8]=[C-:5][C:3]([H:15])([H:16])[H:17]>>[C:1]1([H:10])([H:11])[C:6](=[C:7]([H:18])[H:19])[C:5]([C:3]([H:15])([H:16])[H:17])=[N:8][C:4]([C:2]([H:12])([H:13])[H:14])=[N:9]1,514,472
MR_130733_0,[C:1](=[N+:4]([C@@:5]1([O-:8])[C@:6]([C:2]([C:3]([H:15])([H:16])[H:17])([H:13])[H:14])([H:12])[C:7]1([H:18])[H:19])[H:9])([H:10])[H:11]>>[C:1]([C:2]([C:3]([H:15])([H:16])[H:17])([H:13])[H:14])([N:4]([C:5]([C:6](=[C:7]([H:18])[H:19])[H:12])=[O:8])[H:9])([H:10])[H:11],515,473
MR_130866_2,[C:1]([N:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8](=[C:9]([N:11]([H:18])[H:19])[N:12]([H:17])[H:20])([N:10]([H:15])[H:16])[O:13][H:14]>>[C:1]([N:2]([H:3])[H:14])([H:5])([H:6])[H:7].[H:4][C:9]([C:8]([N:10]([H:15])[H:16])=[O:13])([N:11]([H:18])[H:19])[N:12]([H:17])[H:20],516,474
MR_130869_2,[C:1]([O:7][C:3]([N:4]([H:10])[H:11])([N:5]([H:9])[H:12])[N:8]=[C:2]=[C:6]([H:16])[H:17])([H:13])([H:14])[H:15]>>[C:1]([O:7][C:2](=[C:6]([H:16])[H:17])[N:8]=[C:3]([N:4]([H:10])[H:11])[N:5]([H:9])[H:12])([H:13])([H:14])[H:15],517,475
MR_130902_0,[C:1]([C:2]([N@@+:6]([C:3]([H:16])([H:17])[H:18])(/[C:7]([N-:8][H:12])=[N:9]/[H:13])[H:11])([H:14])[H:15])([C:4]([H:19])([H:21])[H:22])([C:5]([H:20])([H:23])[H:24])[H:10]>>[C:1]([C:2]([N:6]([C:3]([H:16])([H:17])[H:18])/[C:7]([N:8]([H:11])[H:12])=[N:9]/[H:13])([H:14])[H:15])([C:4]([H:19])([H:21])[H:22])([C:5]([H:20])([H:23])[H:24])[H:10],518,476
MR_130936_2,[C:1]([C:2]([H:8])([H:9])[H:10])([C:3]([H:7])([H:11])[H:12])([N+:4]1([O-:5])[C:15]([N:14]([H:17])[H:18])([H:19])[C:16]1([C:13]([H:21])([H:22])[H:23])[H:20])[H:6]>>[C:13](/[C:16](=[C:15](\[N:14]([H:17])[H:18])[H:19])[H:20])([H:21])([H:22])[H:23].[C:1]([C:2]([H:8])([H:9])[H:10])([C:3]([H:7])([H:11])[H:12])([N:4]=[O:5])[H:6],519,477
MR_131119_0,[C@:1]1([C:3]([H:15])([H:16])[H:17])([O:5][H:9])[C:2]([H:13])([H:14])/[C:4](=[N:8]\[H:12])[N@+:6]1([N-:7][H:11])[H:10]>>[C:1]([C:2]([C:4](/[N:6]=[N:7]\[H:11])=[N:8]\[H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])([O:5][H:9])[H:10],520,478
MR_131120_2,[C:1]([O:2][H:3])([H:4])([H:5])[H:6].[C:7]([C:8](/[N:9]=[N:10]\[H:12])=[N:11]/[H:13])([H:14])([H:15])[H:16]>>[C:1](=[O:2])([H:4])[H:5].[H:3][N:10]([N:9]([H:6])/[C:8]([C:7]([H:14])([H:15])[H:16])=[N:11]\[H:13])[H:12],521,479
MR_131290_0,[N+:1]([C:2]([N:4]([H:10])[H:11])=[O:7])([C:3]([N:5]([H:12])[H:13])=[O:8])([O-:6])[H:9]>>[N:1]([C:3]([N:5]([H:12])[H:13])=[O:8])([O:6][C:2]([N:4]([H:10])[H:11])=[O:7])[H:9],522,480
MR_13134_2,[C-:12](=[N+:13]([H:14])[H:15])[H:16].[C:1]([C:2]([C:3](=[C:4]([H:10])[H:11])[H:6])([O:5][H:17])[H:18])([H:7])([H:8])[H:9]>>[C:12]([N:13]([H:14])[H:15])([H:16])([H:17])[H:18].[C:1]([C:2]([C:3](=[C:4]([H:10])[H:11])[H:6])=[O:5])([H:7])([H:8])[H:9],523,481
MR_13141_0,[C:1](=[N+:4]=[C-:3][C:2]([H:9])([H:10])[H:11])([H:6])[H:7].[H:5][H:8]>>[C:1](/[N:4]=[C:3](/[C:2]([H:9])([H:10])[H:11])[H:5])([H:6])([H:7])[H:8],524,482
MR_131425_2,[C:1]1([C:2]([H:14])([H:15])[H:16])([H:9])[C:4]([C:3]([H:17])([H:18])[H:19])([C:8]([H:10])([H:20])[H:21])[C:6]1(/[C:7](=[N:5]/[H:11])[H:13])[H:12]>>[C:1]([C:2]([H:14])([H:15])[H:16])([C:4]([C:3]([H:17])([H:18])[H:19])=[C:8]([H:20])[H:21])(/[C:6](=[C:7](\[N:5]([H:10])[H:11])[H:13])[H:12])[H:9],525,483
MR_131534_0,[C:1](=[N:7]\[H:15])(\[O:8][H:10])[H:12].[C:2](\[C:4]([H:19])([H:20])[H:21])(=[C:6](\[N:5]([C:3]([H:16])([H:17])[H:18])[H:11])[O:9][H:14])[H:13]>>[C:1]([C:2]([C:4]([H:19])([H:20])[H:21])([C:6]([N:5]([C:3]([H:16])([H:17])[H:18])[H:11])=[O:9])[H:13])([N:7]([H:14])[H:15])([O:8][H:10])[H:12],526,484
MR_131534_2,[C:1]([N:7]([H:14])[H:15])(=[O:8])[H:12].[C:2](\[C:4]([H:19])([H:20])[H:21])(=[C:6](/[N:5]([C:3]([H:16])([H:17])[H:18])[H:11])[O:9][H:10])[H:13]>>[C:1]([C:2]([C:4]([H:19])([H:20])[H:21])([C:6]([N:5]([C:3]([H:16])([H:17])[H:18])[H:11])=[O:9])[H:13])([N:7]([H:14])[H:15])([O:8][H:10])[H:12],527,485
MR_131610_0,[C:1]([C:3]([O:5][O:6][C:2]([H:12])([H:13])[H:14])=[O:7])([N:4]([H:8])[H:9])([H:10])[H:11]>>[C:1]([N:4]([H:8])[H:9])([O:5][C:3]([O:6][C:2]([H:12])([H:13])[H:14])=[O:7])([H:10])[H:11],528,486
MR_13168_0,[C:1](/[C:2](=[C:5](\[N:4]([H:9])[H:10])[H:11])[O:6][N:3]([H:7])[H:8])([H:12])([H:13])[H:14]>>[C:1]([C:2]([C-:5]=[N+:4]([H:9])[H:10])=[O:6])([H:12])([H:13])[H:14].[N:3]([H:7])([H:8])[H:11],529,487
MR_131772_1,[C-:3](=[O+:8]\[H:10])\[H:14].[C:1]([C:2]([C:5]([H:19])([H:20])[H:21])([H:11])[H:15])([C:4]([H:16])([H:17])[H:18])([N:6]([H:12])[H:13])[O:7][H:9]>>[C:1]([C:2]([C:3]([O:8][H:10])([H:14])[H:15])([C:5]([H:19])([H:20])[H:21])[H:11])([C:4]([H:16])([H:17])[H:18])([N:6]([H:12])[H:13])[O:7][H:9],530,488
MR_13189_0,[C:1](=[C:4]([C:5]([N:3]([H:10])[H:11])([O:7][N:2]([H:8])[H:9])[H:13])[H:12])=[C:6]([H:14])[H:15]>>[C:1](/[C:4](=[C:5](\[N:3]([H:10])[H:11])[H:13])[H:12])(=[C:6]([H:14])[H:15])[O:7][N:2]([H:8])[H:9],531,489
MR_696546_2,[C:1](=[C:4]([C:5]([N:3]([H:10])[H:11])([O:7][N:2]([H:8])[H:9])[H:13])[H:12])=[C:6]([H:14])[H:15]>>[C:1](/[C:4](=[C:5](\[N:3]([H:10])[H:11])[H:13])[H:12])(=[C:6]([H:14])[H:15])[O:7][N:2]([H:8])[H:9],532,489
MR_131984_2,[C-:4](=[N+:6]([H:7])[H:9])[H:10].[C:1]([N:2]=[C:3]=[N:5][H:8])([H:11])([H:12])[H:13]>>[C:1]([N:2]([C:3](/[C:4](=[N:6]/[H:9])[H:10])=[N:5]/[H:8])[H:7])([H:11])([H:12])[H:13],533,490
MR_131992_0,[C:1]([N+:2]([C:3](/[C-:4]=[N:6]\[H:9])=[N:5]/[H:8])([H:7])[H:10])([H:11])([H:12])[H:13]>>[C:1]([N:2]([C:3](/[C:4](=[N:6]\[H:9])[H:10])=[N:5]/[H:8])[H:7])([H:11])([H:12])[H:13],534,491
MR_132118_1,[C:1]([N:4]([H:10])[H:11])([N:5]([H:9])[H:12])=[C:7](/[C:3]([C:2]([H:16])([H:17])[H:18])=[N:6]/[H:13])[H:15].[H:8][H:14]>>[C:1]([N:4]([H:10])[H:11])([N:5]([H:9])[H:12])(/[C:7](=[C:3](/[C:2]([H:16])([H:17])[H:18])[N:6]([H:13])[H:14])[H:15])[H:8],535,492
MR_132134_2,[C:1]([N+:3]([C:2]([H:15])([H:16])[H:17])(/[C:4]([C-:5]=[C:7]([H:18])[H:19])=[N:8]/[H:11])[N:6]([H:9])[H:10])([H:12])([H:13])[H:14]>>[C:1]([N:3](/[C:4]([C:5]([C:2]([H:15])([H:16])[H:17])=[C:7]([H:18])[H:19])=[N:8]/[H:11])[N:6]([H:9])[H:10])([H:12])([H:13])[H:14],536,493
MR_132157_2,[C-:1]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])/[N+:8](=[C:3](\[C:7]([H:24])([H:25])[H:26])[H:13])[H:11].[C:2]([C:6]([H:21])([H:22])[H:23])([O:9][H:10])([H:12])[H:14]>>[C:1]([C:2]([C:6]([H:21])([H:22])[H:23])([O:9][H:10])[H:12])([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[N:8]([C:3]([C:7]([H:24])([H:25])[H:26])([H:13])[H:14])[H:11],537,494
MR_132170_1,[C:1](/[N:2]=[N+:3]([C:5](=[N:7]\[C-:4]=[C:6]([H:13])[H:14])/[H:9])\[H:8])([H:10])([H:11])[H:12]>>[C:1]([N:2]1[N:3]([H:8])[C:5]([H:9])=[N:7][C:4]1=[C:6]([H:13])[H:14])([H:10])([H:11])[H:12],538,495
MR_132235_1,[C:1]([O:4][N:2]([H:8])[H:9])([O:5][C:3](=[O:7])[H:11])[N:6][H:10]>>[C:1](=[O:5])=[N:6][H:10].[N:2]([O:4][C:3](=[O:7])[H:11])([H:8])[H:9],539,496
MR_132255_0,[C:1](\[O:4][C:3](=[O:7])[H:11])([O:5][H:8])=[N:6]/[N:2]([H:9])[H:10]>>[C:1](=[O:4])([O:5][H:8])[N:6]([N:2]([H:9])[H:10])[C:3](=[O:7])[H:11],540,497
MR_132255_1,[C:1]([O:4][C:3](=[O:7])[H:11])([O:5][H:8])[N:6][N:2]([H:9])[H:10]>>[C:1](=[O:4])([O:5][H:8])[N:6]([N:2]([H:9])[H:10])[C:3](=[O:7])[H:11],541,498
MR_132280_0,[C:1]([O:2][H:4])(=[O:3])[H:5].[C:6](=[N:8]/[N:7]=[N:9]\[H:10])([H:11])[H:12]>>[C:1](=[O:2])=[O:3].[H:4][N:9]([N:7]([H:5])[N:8]=[C:6]([H:11])[H:12])[H:10],542,499
MR_132469_0,[C:1]([N:2]([H:8])[H:9])([O:3][H:6])([O:4][H:5])[H:7]>>[C:1](=[O:3])([O:4][H:5])[H:7].[N:2]([H:6])([H:8])[H:9],543,500
MR_132504_0,[C:1](/[C:2](=[N:3]\[H:8])[N:5]=[C:4]=[O:6])([H:10])([H:11])[H:12].[H:7][H:9]>>[C:1](/[C:2]([N:3]([H:7])[H:8])=[N:5]/[C:4](=[O:6])[H:9])([H:10])([H:11])[H:12],544,501
MR_132537_1,[C:1](/[C:3]([C:2]([O:5][H:9])=[O:7])=[N:6]/[O:4][H:8])([H:10])([H:11])[H:12]>>[C:1]([C:3]#[N:6])([H:10])([H:11])[H:12].[C:2](=[O:5])=[O:7].[O:4]([H:8])[H:9],545,502
MR_132766_0,[C-:1](=[N+:3](/[C:4]([C:2]([H:14])([H:15])[H:16])=[C:7]([H:17])[H:18])[N:5]([H:9])[H:10])\[H:12].[C:6](=[C:8]([H:19])[H:20])([H:11])[H:13]>>[C:1]([N:3]([C:4]([C:2]([H:14])([H:15])[H:16])=[C:7]([H:17])[H:18])[N:5]([H:9])[H:10])([C:6](=[C:8]([H:19])[H:20])[H:13])([H:11])[H:12],546,503
MR_133112_1,[C:1]([C:3](=[C:5]([H:14])[H:15])[O:6][H:7])([H:9])([H:10])[H:11].[C:2](=[N:4][H:8])([H:12])[H:13]>>[C:1](=[C:3]([C:5]([C:2]([N:4]([H:8])[H:9])([H:12])[H:13])([H:14])[H:15])[O:6][H:7])([H:10])[H:11],547,504
MR_133143_0,[C-:2](=[N+:4]([H:8])[H:9])[H:10].[C:1]([C:3]([H:12])([H:13])[H:14])([O:5][H:6])([H:7])[H:11].[N:15]([O:16][H:17])([H:18])[H:19]>>[C:1]([C:2]([N:4]([H:8])[H:9])([H:10])[H:11])([C:3]([H:12])([H:13])[H:14])([O:5][H:6])[H:7].[N:15]([O:16][H:17])([H:18])[H:19],548,505
MR_133312_0,[C:1]1([C:7]([C:5]([H:17])([H:18])[H:19])=[O:8])=[C:2]([H:11])[C:3]1([H:12])[H:13].[C:4]([N:6]([H:9])[H:10])([H:14])([H:15])[H:16]>>[C:1]1([C:7]([C:5]([H:17])([H:18])[H:19])=[O:8])([H:10])[C:2]([N:6]([C:4]([H:14])([H:15])[H:16])[H:9])([H:11])[C:3]1([H:12])[H:13],549,506
MR_133393_1,[C:1](/[C:3](=[C:5](\[C-:2]=[O+:4]\[H:6])[H:7])[H:8])([H:9])([H:10])[H:11]>>[C:1]([C:3](=[C:5]=[C:2]([O:4][H:6])[H:7])[H:8])([H:9])([H:10])[H:11],550,507
MR_133616_0,[C:1](=[C:3]([C:5]([C:2]([H:14])([H:15])[H:16])=[C:7]([H:17])[H:18])[O:8][H:10])([H:12])[H:13].[C:4](=[N:6][H:11])=[O:9]>>[C:1]([C:3]([C:5]([C:2]([H:14])([H:15])[H:16])=[C:7]([H:17])[H:18])=[O:8])([C:4]([N:6]([H:10])[H:11])=[O:9])([H:12])[H:13],551,508
MR_133644_1,[C:1]([N:3]([H:9])[H:10])([N:7]([C-:4]([H:13])[H:14])[N+:6]#[C:2][O:5][H:8])([H:11])[H:12]>>[C:1](/[C:2]([O:5][H:8])=[N:6]\[N:7]=[C:4]([H:13])[H:14])([N:3]([H:9])[H:10])([H:11])[H:12],552,509
MR_134035_0,[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:9])([H:13])[H:14])=[O:6].[H:8][O:16][C:15]([H:18])([H:19])[H:20].[O:4]([O:5][H:7])[H:17]>>[C:15]([O:16][H:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:9])([H:13])[H:14])([O:4][O:5][H:7])[O:6][H:8],553,510
MR_441659_0,[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:9])([H:13])[H:14])=[O:6].[H:8][O:16][C:15]([H:18])([H:19])[H:20].[O:4]([O:5][H:7])[H:17]>>[C:15]([O:16][H:17])([H:18])([H:19])[H:20].[C:1]([C:2]([H:10])([H:11])[H:12])([C:3]([H:9])([H:13])[H:14])([O:4][O:5][H:7])[O:6][H:8],554,510
MR_134140_1,[C:1](\[C:2]([H:16])([H:17])[H:18])(=[C:5]([C:3]([H:19])([H:20])[H:21])\[C:8](=[N:7]\[H:14])[H:15])[H:10].[N:4]([N:6]([H:11])[H:12])([H:9])[H:13]>>[C:1]([C:2]([H:16])([H:17])[H:18])([N:4]([N:6]([H:11])[H:12])[H:9])(/[C:5]([C:3]([H:19])([H:20])[H:21])=[C:8](\[N:7]([H:13])[H:14])[H:15])[H:10],555,511
MR_134252_2,[C:1]([N+:5]([C-:2]([H:13])[H:14])=[C:4]([H:18])[H:19])([N:6]([H:9])[H:10])([H:11])[H:12].[C:3]([O:7][H:8])([H:15])([H:16])[H:17]>>[C:1]([N:5]([C:2]([C:3]([O:7][H:8])([H:15])[H:16])([H:13])[H:14])[C:4]([H:17])([H:18])[H:19])([N:6]([H:9])[H:10])([H:11])[H:12],556,512
MR_134401_2,[C-:1](\[C:2]([C:3](/[C:5](=[C:6](/[C:4]([H:16])([H:17])[H:18])[H:15])[O:8][H:10])([H:13])[H:14])([H:11])[H:12])=[O+:7]\[H:9]>>[C:1]1(/[C:5](=[C:6](/[C:4]([H:16])([H:17])[H:18])[H:15])[O:8][H:10])([O:7][H:9])[C:2]([H:11])([H:12])[C:3]1([H:13])[H:14],557,513
MR_134446_1,[C:1]([N:2]([H:3])[H:16])([H:5])([H:6])[H:7].[H:4][N:12](/[C:8]([N:9]([H:14])[H:15])=[N:10]/[H:17])[O:11][H:13]>>[C:1]([N:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8]([N:9]([H:14])[H:15])([N:10]([H:16])[H:17])=[N:12][O:11][H:13],558,514
MR_134502_2,[C:1]([O:6][H:10])([H:12])([H:13])[H:14].[C:2](=[C:4]=[C:5]([N:3]([H:8])[H:9])[H:11])=[O:7]>>[C:1]([O:6][C:2](/[C:4](=[C:5](/[N:3]([H:8])[H:9])[H:11])[H:10])=[O:7])([H:12])([H:13])[H:14],559,515
MR_134530_0,[C-:1]([C:3]([H:9])([H:10])[H:11])([O+:4]=[C:2]([H:7])[H:8])[O:5][H:6].[C:12]([C:13]#[C:14][H:18])([H:15])([H:16])[H:17]>>[C:12]([C:13]#[C:14][H:18])([H:15])([H:16])[H:17].[C:1]1([C:3]([H:9])([H:10])[H:11])([O:5][H:6])[C:2]([H:7])([H:8])[O:4]1,560,516
MR_134555_1,[C:1]([C:2]([C:4]([C:3]([H:13])([H:14])[H:15])=[C:5]([H:16])[H:17])([H:11])[H:12])([O:6][H:8])([O:7][H:9])[H:10]>>[C:1]([O:6][H:8])(=[O:7])[H:10].[C:2](=[C:4]([C:3]([H:13])([H:14])[H:15])[C:5]([H:9])([H:16])[H:17])([H:11])[H:12],561,517
